Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Developer
FIFA 15,PS4,2014.0,Sports,Electronic Arts,0.8,4.33,0.05,0.9,6.08,82.0,5.7,EA Sports
Metal Gear Solid 4: Guns of the Patriots,PS3,2008.0,Action,Konami Digital Entertainment,2.63,1.71,0.83,0.82,5.99,94.0,8.7,Kojima Productions
The Last of Us,PS3,2013.0,Action,Sony Computer Entertainment Europe,2.41,2.18,0.28,0.99,5.87,95.0,9.1,Naughty Dog
Dragon Quest IX: Sentinels of the Starry Skies,DS,2009.0,Role-Playing,Nintendo,0.63,0.67,4.35,0.15,5.78,87.0,8.8,Level 5
Assassin's Creed II,PS3,2009.0,Action,Ubisoft,2.54,1.93,0.21,0.86,5.55,91.0,8.6,Ubisoft Montreal
Batman: Arkham City,PS3,2011.0,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96.0,8.6,Rocksteady Studios
Grand Theft Auto V,XOne,2014.0,Action,Take-Two Interactive,2.81,2.19,0.0,0.47,5.48,97.0,7.9,Rockstar North
Final Fantasy XIII,PS3,2009.0,Role-Playing,Square Enix,1.74,1.21,1.87,0.51,5.33,83.0,7.3,Square Enix
Diablo III,PC,2012.0,Role-Playing,Activision,2.44,2.16,0.0,0.54,5.14,88.0,4,Blizzard Entertainment
Mario & Sonic at the Olympic Games,DS,2008.0,Sports,Sega,1.63,2.45,0.44,0.57,5.09,,,
Resident Evil 5,PS3,2009.0,Action,Capcom,1.96,1.41,1.08,0.64,5.09,84.0,7.5,Capcom
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,Nintendo,1.85,1.8,0.95,0.48,5.08,90.0,8,Nintendo
FIFA Soccer 11,PS3,2010.0,Sports,Electronic Arts,0.61,3.28,0.06,1.12,5.07,89.0,8,EA Sports
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007.0,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,,,
Uncharted: Drake's Fortune,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,8.1,"Naughty Dog, SCE/WWS"
Assassin's Creed,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,7.3,Ubisoft Montreal
God of War III,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,8.7,SCE Santa Monica
LEGO Star Wars: The Complete Saga,DS,2007.0,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,5.4,TT Fusion
The Last of Us,PS4,2014.0,Action,Sony Computer Entertainment,1.88,2.0,0.07,0.77,4.71,,,
Uncharted: The Nathan Drake Collection,PS4,2015.0,Action,Sony Computer Entertainment,2.07,1.71,0.08,0.76,4.62,86.0,8.1,Bluepoint Games
FIFA 15,PS3,2014.0,Sports,Electronic Arts,0.58,3.02,0.04,0.64,4.28,,4.5,EA Sports
Batman: Arkham Asylum,PS3,2009.0,Action,Eidos Interactive,2.24,1.31,0.07,0.61,4.23,91.0,8.9,Rocksteady Studios
Assassin's Creed: Revelations,PS3,2011.0,Action,Ubisoft,1.41,2.01,0.1,0.7,4.22,80.0,7.5,Ubisoft Montreal
Fallout 4,XOne,2015.0,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,0.38,4.22,88.0,6.2,Bethesda Game Studios
Gran Turismo 5 Prologue,PS3,2007.0,Racing,Sony Computer Entertainment,1.28,1.82,0.57,0.52,4.19,80.0,7.1,Polyphony Digital
World of Warcraft: The Burning Crusade,PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,0.0,4.09,91.0,7.9,Blizzard Entertainment
Watch Dogs,PS4,2014.0,Action,Ubisoft,1.4,1.9,0.11,0.64,4.05,80.0,6.3,Ubisoft Montreal
The Witcher 3: Wild Hunt,PS4,2015.0,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,0.59,3.97,92.0,9.2,CD Projekt Red Studio
Assassin's Creed: Unity,PS4,2014.0,Action,Ubisoft,1.19,2.07,0.08,0.62,3.96,70.0,4.9,"Ubisoft, Ubisoft Montreal"
Batman: Arkham Knight,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,0.64,3.95,87.0,7.6,Rocksteady Studios
Fallout 3,PS3,2008.0,Role-Playing,Bethesda Softworks,2.15,1.13,0.07,0.59,3.94,90.0,8,Bethesda Game Studios
The Elder Scrolls V: Skyrim,PC,2011.0,Role-Playing,Bethesda Softworks,1.16,2.12,0.0,0.6,3.88,94.0,8.1,Bethesda Game Studios
NBA 2K16,PS4,2015.0,Sports,Take-Two Interactive,2.49,0.66,0.03,0.69,3.88,87.0,6.7,Visual Concepts
MotorStorm,PS3,2006.0,Racing,Sony Computer Entertainment,1.53,1.6,0.06,0.67,3.87,84.0,7.4,Evolution Studios
Sports Champions,PS3,2010.0,Sports,Sony Computer Entertainment,2.13,1.12,0.1,0.5,3.84,76.0,7.9,"SCEA, Zindagi Games"
Mario & Luigi: Bowser's Inside Story,DS,2009.0,Role-Playing,Nintendo,2.23,0.47,0.81,0.26,3.77,,,
Assassin's Creed IV: Black Flag,PS3,2013.0,Action,Ubisoft,1.33,1.68,0.13,0.57,3.71,88.0,8.1,Ubisoft
FIFA Soccer 10,PS3,2009.0,Sports,Electronic Arts,0.6,2.45,0.05,0.52,3.62,91.0,7.6,EA Sports
Assassin's Creed: Unity,XOne,2014.0,Action,Ubisoft,2.27,0.9,0.0,0.33,3.5,72.0,4.1,"Ubisoft, Ubisoft Montreal"
Mario & Sonic at the Olympic Winter Games,DS,2009.0,Sports,Sega,1.21,1.62,0.27,0.37,3.46,,,
Metal Gear Solid V: The Phantom Pain,PS4,2015.0,Action,Konami Digital Entertainment,1.09,1.36,0.49,0.48,3.41,93.0,8.2,"Kojima Productions, Moby Dick Studio"
Assassin's Creed Syndicate,PS4,2015.0,Action,Ubisoft,0.81,1.99,0.07,0.52,3.39,76.0,6.8,Ubisoft Quebec
The Legend of Zelda: Spirit Tracks,DS,2009.0,Action,Nintendo,1.4,0.91,0.74,0.26,3.31,87.0,7.8,Nintendo
FIFA 16,XOne,2015.0,Sports,Electronic Arts,0.89,2.12,0.0,0.24,3.25,84.0,4.4,EA Sports
Madden NFL 16,PS4,2015.0,Sports,Electronic Arts,2.34,0.3,0.0,0.6,3.24,83.0,5.9,EA Sports
Gran Turismo 6,PS3,2013.0,Racing,Sony Computer Entertainment,0.72,1.67,0.4,0.44,3.23,81.0,7.7,Polyphony Digital
L.A. Noire,PS3,2011.0,Adventure,Take-Two Interactive,1.27,1.29,0.12,0.49,3.17,89.0,7.7,Team Bondi
Club Penguin: Elite Penguin Force,DS,2008.0,Adventure,Disney Interactive Studios,1.87,0.97,0.0,0.3,3.14,,8,1st Playable Productions
Fallout: New Vegas,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.03,0.1,0.46,3.11,82.0,7.8,Obsidian Entertainment
The Elder Scrolls IV: Oblivion,PS3,2007.0,Role-Playing,Ubisoft,1.69,0.85,0.14,0.43,3.1,93.0,8,4J Studios
LEGO Batman: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.75,1.01,0.0,0.29,3.05,72.0,8,TT Fusion
Heavy Rain,PS3,2010.0,Adventure,Sony Computer Entertainment,1.29,1.21,0.06,0.47,3.03,87.0,7.7,Quantic Dream
FIFA 14,PS4,2013.0,Sports,Electronic Arts,0.61,1.85,0.11,0.44,3.01,87.0,6.3,EA Canada
Star Wars: The Old Republic,PC,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,0.38,2.96,85.0,5.9,"LucasArts, BioWare"
Middle-Earth: Shadow of Mordor,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,0.47,2.96,84.0,8.1,Monolith Productions
inFAMOUS,PS3,2009.0,Action,Sony Computer Entertainment,1.76,0.68,0.12,0.37,2.93,85.0,8.3,Sucker Punch
Assassin's Creed IV: Black Flag,PS4,2013.0,Action,Ubisoft,1.07,1.31,0.06,0.42,2.85,83.0,7.8,Ubisoft
Assassin's Creed: Brotherhood,PS3,2010.0,Action,Ubisoft,1.87,0.55,0.11,0.29,2.82,90.0,8.2,Ubisoft Montreal
Need for Speed: Most Wanted,PS3,2012.0,Racing,Electronic Arts,0.71,1.46,0.06,0.58,2.81,,,
inFAMOUS: Second Son,PS4,2014.0,Action,Sony Computer Entertainment,1.28,0.98,0.07,0.46,2.79,80.0,7.9,Sucker Punch
Need for Speed: Hot Pursuit,PS3,2010.0,Racing,Electronic Arts,1.05,1.23,0.03,0.47,2.78,89.0,7.2,Criterion Games
FIFA 16,PS3,2015.0,Sports,Electronic Arts,0.41,1.84,0.05,0.4,2.71,,3.2,EA Sports
FIFA 17,XOne,2016.0,Sports,Electronic Arts,0.43,2.05,0.0,0.17,2.65,84.0,5.5,"EA Sports, EA Vancouver"
Hannah Montana,DS,2006.0,Action,Disney Interactive Studios,1.59,0.8,0.0,0.26,2.65,,6.7,DC Studios
Need for Speed: Shift,PS3,2009.0,Racing,Electronic Arts,0.69,1.4,0.04,0.52,2.65,84.0,6.9,Slightly Mad Studios
Final Fantasy XIII-2,PS3,2011.0,Role-Playing,Square Enix,0.78,0.73,0.89,0.23,2.63,79.0,6.6,Square Enix
God of War Collection,PS3,2009.0,Action,Sony Computer Entertainment,1.7,0.44,0.06,0.4,2.6,91.0,8.7,Bluepoint Games
FIFA Soccer 09,PS3,2008.0,Sports,Electronic Arts,0.48,1.63,0.04,0.43,2.58,87.0,7.5,EA Canada
Madden NFL 13,PS3,2012.0,Sports,Electronic Arts,2.11,0.22,0.0,0.23,2.56,83.0,5.5,EA Tiburon
Bloodborne,PS4,2015.0,Action,Sony Computer Entertainment,1.03,0.81,0.26,0.38,2.48,92.0,8.6,From Software
NBA 2K13,PS3,2012.0,Sports,Take-Two Interactive,1.73,0.43,0.05,0.27,2.47,90.0,8,Visual Concepts
Saints Row: The Third,PS3,2011.0,Action,THQ,0.86,1.04,0.18,0.38,2.47,82.0,7.7,Volition Inc.
NBA 2K15,PS4,2014.0,Sports,Take-Two Interactive,1.47,0.54,0.01,0.43,2.45,83.0,7,Visual Concepts
Midnight Club: Los Angeles,PS3,2008.0,Racing,Take-Two Interactive,1.56,0.53,0.05,0.31,2.45,82.0,8.2,Rockstar San Diego
Need for Speed (2015),PS4,2015.0,Racing,Electronic Arts,0.5,1.5,0.05,0.37,2.43,,,
Madden NFL 16,XOne,2015.0,Sports,Electronic Arts,2.08,0.08,0.0,0.26,2.42,84.0,6.1,EA Sports
Tomb Raider (2013),PS3,2013.0,Action,Square Enix,0.6,1.26,0.08,0.48,2.42,,,
pro evolution soccer 2011,PS3,2010.0,Sports,Konami Digital Entertainment,0.29,1.17,0.54,0.41,2.41,77.0,6.8,Konami
Madden NFL 11,PS3,2010.0,Sports,Electronic Arts,2.04,0.15,0.0,0.2,2.38,83.0,6.1,EA Tiburon
Madden NFL 10,PS3,2009.0,Sports,Electronic Arts,2.03,0.13,0.0,0.21,2.37,85.0,6.8,EA Tiburon
NBA 2K16,XOne,2015.0,Sports,Take-Two Interactive,1.95,0.15,0.0,0.24,2.34,86.0,6.2,Visual Concepts
Guild Wars 2,PC,2012.0,Action,NCSoft,0.96,1.07,0.0,0.27,2.31,90.0,7.9,ArenaNet
Batman: Arkham Origins,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,1.07,0.8,0.04,0.38,2.29,76.0,7.7,WB Games Montreal
LEGO Star Wars: The Complete Saga,PS3,2007.0,Action,LucasArts,1.02,0.9,0.0,0.36,2.29,80.0,6.7,Traveller's Tales
Pro Evolution Soccer 2010,PS3,2009.0,Sports,Konami Digital Entertainment,0.3,1.27,0.46,0.26,2.28,78.0,6.7,Konami
LEGO Harry Potter: Years 1-4,DS,2010.0,Action,Warner Bros. Interactive Entertainment,1.07,0.99,0.0,0.22,2.28,72.0,7.2,TT Fusion
Pokemon Ranger: Shadows of Almia,DS,2008.0,Role-Playing,Nintendo,0.94,0.53,0.62,0.18,2.28,68.0,8.2,"HAL Labs, Creatures Inc."
Dead Island,PS3,2011.0,Action,Deep Silver,1.08,0.73,0.15,0.31,2.27,71.0,6.6,Techland
Far Cry: Primal,PS4,2016.0,Action,Ubisoft,0.6,1.25,0.06,0.35,2.26,76.0,6.3,Ubisoft Montreal
Madden NFL 12,PS3,2011.0,Sports,Electronic Arts,1.93,0.15,0.0,0.17,2.25,79.0,5.5,EA Tiburon
God of War: Ascension,PS3,2013.0,Action,Sony Computer Entertainment,1.23,0.63,0.04,0.35,2.25,80.0,7.5,SCE Santa Monica
Assassin's Creed IV: Black Flag,XOne,2013.0,Action,Ubisoft,1.48,0.55,0.0,0.21,2.23,,7.4,Ubisoft
Star Wars: The Force Unleashed,PS3,2008.0,Action,LucasArts,1.01,0.85,0.0,0.35,2.21,71.0,6.6,LucasArts
Forza Motorsport 5,XOne,2013.0,Racing,Microsoft Game Studios,1.21,0.79,0.01,0.19,2.2,79.0,5.9,Turn 10
LEGO Indiana Jones: The Original Adventures,DS,2008.0,Action,Activision,1.4,0.59,0.0,0.2,2.2,80.0,7.9,TT Fusion
Madden NFL 15,PS4,2014.0,Sports,Electronic Arts,1.54,0.25,0.0,0.4,2.19,81.0,6.1,EA Sports
Pro Evolution Soccer 2012,PS3,2011.0,Action,Konami Digital Entertainment,0.34,0.96,0.55,0.33,2.19,80.0,6.6,Konami
FIFA 15,XOne,2014.0,Sports,Electronic Arts,0.6,1.42,0.0,0.16,2.18,82.0,5.4,EA Sports
Pokemon Ranger,DS,2006.0,Role-Playing,Nintendo,1.28,0.03,0.73,0.12,2.15,69.0,7.6,HAL Labs
Hitman: Absolution,PS3,2012.0,Action,Square Enix,0.59,1.05,0.07,0.44,2.14,83.0,7.5,Io Interactive
NBA 2K12,PS3,2011.0,Sports,Take-Two Interactive,1.62,0.26,0.05,0.18,2.11,90.0,6.7,Visual Concepts
PES 2009: Pro Evolution Soccer,PS3,2008.0,Sports,Konami Digital Entertainment,0.11,1.33,0.4,0.26,2.11,,,
NBA 2K14,PS3,2013.0,Sports,Take-Two Interactive,1.44,0.31,0.04,0.32,2.11,84.0,4.9,Visual Concepts
Dying Light,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.96,0.67,0.12,0.34,2.09,74.0,7.9,Techland
World of Warcraft: Cataclysm,PC,2010.0,Role-Playing,Activision,1.77,0.32,0.0,0.0,2.08,90.0,5.6,Blizzard Entertainment
Final Fantasy III,DS,2006.0,Role-Playing,Square Enix,0.89,0.04,1.07,0.09,2.08,77.0,7.1,Matrix Software
DriveClub,PS4,2014.0,Racing,Sony Computer Entertainment,0.36,1.38,0.02,0.31,2.07,71.0,6.1,Evolution Studios
Ghostbusters: The Video Game (DS Version),PS3,2010.0,Action,Take-Two Interactive,0.6,0.96,0.13,0.36,2.05,,,
Need For Speed: Undercover,PS3,2008.0,Racing,Electronic Arts,0.63,1.0,0.05,0.38,2.05,59.0,5.9,EA Vancouver
Toy Story 3: The Video Game,DS,2010.0,Action,Disney Interactive Studios,0.89,0.94,0.02,0.21,2.05,,,
Need for Speed: ProStreet,PS3,2007.0,Racing,Electronic Arts,0.73,0.91,0.04,0.36,2.04,73.0,6,EA Black Box
Pokémon Mystery Dungeon: Blue Rescue Team,DS,2005.0,Role-Playing,Nintendo,1.15,0.04,0.83,0.0,2.02,62.0,8.1,ChunSoft
Dark Souls,PS3,2011.0,Role-Playing,Namco Bandai Games,0.75,0.51,0.54,0.22,2.02,89.0,8.7,From Software
Need for Speed: The Run,PS3,2011.0,Action,Electronic Arts,0.58,1.04,0.03,0.36,2.01,64.0,6.4,Black Box
Dragon Age: Inquisition,PS4,2014.0,Role-Playing,Electronic Arts,0.73,0.88,0.08,0.32,2.01,89.0,7.4,BioWare
Dead Space,PS3,2008.0,Action,Electronic Arts,1.05,0.66,0.0,0.29,2.0,88.0,8.8,EA Redwood Shores
Kingdom Hearts 358/2 Days,DS,2009.0,Role-Playing,Square Enix,1.06,0.26,0.53,0.13,1.98,75.0,7.8,h.a.n.d. Inc.
Skate 3,PS3,2010.0,Sports,Electronic Arts,0.79,0.88,0.0,0.32,1.98,80.0,7.6,EA Black Box
Need for Speed Rivals,PS4,2013.0,Racing,Electronic Arts,0.73,0.92,0.03,0.3,1.98,80.0,6.2,Ghost Games
Burnout Paradise,PS3,2008.0,Racing,Electronic Arts,1.01,0.62,0.02,0.29,1.94,87.0,7.7,Criterion Games
Diablo III,PS3,2013.0,Role-Playing,Activision,0.72,0.75,0.15,0.29,1.91,86.0,6.4,Blizzard Entertainment
Madden NFL 09,PS3,2008.0,Sports,Electronic Arts,1.56,0.14,0.0,0.18,1.88,85.0,4.4,EA Tiburon
NBA 2K17,PS4,2016.0,Sports,Take-Two Interactive,1.25,0.27,0.02,0.34,1.88,88.0,6.7,Visual Concepts
Madden NFL 25,PS3,2013.0,Sports,Electronic Arts,1.6,0.03,0.0,0.24,1.87,76.0,4.1,EA Sports
Just Cause 3,PS4,2015.0,Action,Square Enix,0.47,1.03,0.07,0.28,1.86,73.0,6.5,Avalanche Studios
LEGO Marvel Super Heroes,PS3,2013.0,Action,Warner Bros. Interactive Entertainment,0.77,0.76,0.01,0.29,1.84,82.0,7.9,TT Games
Phineas and Ferb,DS,2009.0,Action,Disney Interactive Studios,1.32,0.37,0.0,0.15,1.84,80.0,4.5,Altron
Diablo III,PS4,2014.0,Role-Playing,Activision,0.51,0.98,0.06,0.28,1.82,,,Blizzard Entertainment
inFAMOUS 2,PS3,2011.0,Action,Sony Computer Entertainment,1.05,0.47,0.08,0.22,1.82,83.0,8.4,Sucker Punch
World of Warcraft: Mists of Pandaria,PC,2012.0,Role-Playing,Activision,0.84,0.76,0.0,0.22,1.82,82.0,4.8,Blizzard Entertainment
Demon's Souls,PS3,2009.0,Role-Playing,Namco Bandai Games,0.97,0.33,0.35,0.17,1.82,89.0,8.9,From Software
Mafia III,PS4,2016.0,Action,Take-Two Interactive,0.42,1.08,0.03,0.28,1.81,68.0,5.1,Hangar 13
NBA 2K11,PS3,2010.0,Action,Take-Two Interactive,1.41,0.2,0.03,0.16,1.8,89.0,7.6,Visual Concepts
Forza Motorsport 6,XOne,2015.0,Racing,Microsoft Game Studios,0.73,0.9,0.03,0.14,1.8,87.0,7.9,Turn 10
The Evil Within,PS4,2014.0,Action,Bethesda Softworks,0.55,0.86,0.11,0.27,1.79,75.0,7.3,Tango Gameworks
The Legend of Zelda: The Wind Waker,WiiU,2013.0,Action,Nintendo,0.92,0.6,0.14,0.14,1.79,,,
Dragon Quest Monsters: Joker,DS,2006.0,Role-Playing,Square Enix,0.23,0.02,1.49,0.02,1.76,75.0,7.4,TOSE
Madden NFL 17,PS4,2016.0,Sports,Electronic Arts,1.25,0.17,0.0,0.32,1.75,82.0,4.9,EA Sports
Just Cause 2,PS3,2010.0,Action,Square Enix,0.45,0.92,0.06,0.32,1.75,83.0,8,Avalanche Studios
The Elder Scrolls Online,PS4,2015.0,Role-Playing,Bethesda Softworks,0.67,0.79,0.0,0.29,1.75,,,
FIFA Soccer 08,PS3,2007.0,Sports,Electronic Arts,0.35,1.06,0.02,0.31,1.75,81.0,7.1,EA Canada
Kingdom Hearts,PS3,2013.0,Role-Playing,Square Enix,0.9,0.35,0.25,0.24,1.74,,,
Watch Dogs,PS3,2014.0,Action,Ubisoft,0.56,0.81,0.1,0.27,1.74,,5.1,Ubisoft Montreal
Dragon's Dogma,PS3,2012.0,Role-Playing,Capcom,0.41,0.44,0.72,0.17,1.74,78.0,8.3,Capcom
Dragon Quest VI: Realms of Revelation,DS,2010.0,Role-Playing,Nintendo,0.2,0.14,1.35,0.03,1.73,78.0,8.1,ArtePiazza
The Crew,PS4,2014.0,Racing,Ubisoft,0.35,1.08,0.03,0.26,1.72,61.0,5.4,"Ubisoft Reflections, Ivory Tower"
NBA 2K15,XOne,2014.0,Sports,Take-Two Interactive,1.37,0.18,0.0,0.18,1.72,82.0,6.3,Visual Concepts
No Man's Sky,PS4,2016.0,Action,Hello Games,0.63,0.76,0.03,0.27,1.7,71.0,4.5,Hello Games
Ben 10: Protector of Earth,DS,2007.0,Action,D3Publisher,0.68,0.82,0.0,0.19,1.7,,,
Saints Row 2,PS3,2008.0,Action,THQ,0.88,0.54,0.02,0.25,1.68,82.0,7.9,Volition Inc.
Dragon Age: Origins,PS3,2009.0,Role-Playing,Electronic Arts,0.96,0.42,0.08,0.21,1.67,87.0,7.9,BioWare
Until Dawn,PS4,2015.0,Adventure,Sony Computer Entertainment Europe,0.45,0.9,0.05,0.26,1.66,79.0,8.2,SuperMassive Games
Dark Souls III,PS4,2016.0,Role-Playing,Namco Bandai Games,0.65,0.45,0.34,0.22,1.65,89.0,8.8,From Software
Heavenly Sword,PS3,2007.0,Action,Sony Computer Entertainment,0.57,0.72,0.06,0.29,1.65,79.0,8.3,Ninja Theory
Beyond: Two Souls,PS3,2013.0,Adventure,Sony Computer Entertainment,0.52,0.8,0.06,0.26,1.63,70.0,8.1,Quantic Dream
LEGO Marvel Super Heroes,PS4,2013.0,Action,Warner Bros. Interactive Entertainment,0.59,0.76,0.01,0.26,1.62,83.0,7.7,TT Games
Dragon Quest IV: Chapters of the Chosen,DS,2007.0,Role-Playing,Square Enix,0.3,0.02,1.27,0.03,1.62,80.0,7.9,ArtePiazza
Mario Hoops 3 on 3,DS,2006.0,Sports,Nintendo,0.98,0.04,0.49,0.09,1.6,69.0,8,Square Enix
SpongeBob's Atlantis SquarePantis,DS,2007.0,Action,THQ,1.49,0.0,0.0,0.11,1.6,64.0,tbd,THQ
Pro Evolution Soccer 2008,PS3,2007.0,Sports,Konami Digital Entertainment,0.04,1.1,0.32,0.13,1.59,74.0,6.1,Konami
Devil May Cry 4,PS3,2008.0,Action,Capcom,0.58,0.45,0.34,0.2,1.57,84.0,8.2,Capcom
Dead Rising 3,XOne,2013.0,Action,Microsoft Game Studios,1.06,0.35,0.01,0.15,1.57,78.0,6.8,Capcom Vancouver
Watch Dogs,XOne,2014.0,Action,Ubisoft,0.9,0.53,0.0,0.14,1.57,78.0,5.8,Ubisoft Montreal
Madden NFL 15,XOne,2014.0,Sports,Electronic Arts,1.31,0.09,0.0,0.16,1.57,80.0,6.4,EA Sports
Dragon Quest V: Hand of the Heavenly Bride,DS,2008.0,Role-Playing,Square Enix,0.17,0.02,1.36,0.02,1.57,84.0,8.5,ArtePiazza
Hannah Montana: Music Jam,DS,2007.0,Action,Disney Interactive Studios,1.05,0.36,0.0,0.15,1.56,,,
Pokemon Mystery Dungeon: Explorers of Sky,DS,2009.0,Role-Playing,Nintendo,0.57,0.43,0.44,0.12,1.56,54.0,9,ChunSoft
Pro Evolution Soccer 2013,PS3,2012.0,Sports,Konami Digital Entertainment,0.18,0.63,0.49,0.24,1.53,82.0,6.7,Konami
Dishonored,PS3,2012.0,Action,Bethesda Softworks,0.72,0.52,0.04,0.25,1.53,89.0,7.9,Arkane Studios
Final Fantasy XIV: A Realm Reborn,PC,2010.0,Role-Playing,Square Enix,0.88,0.48,0.0,0.17,1.52,,,
Disney Fairies: Tinker Bell,DS,2008.0,Adventure,Disney Interactive Studios,0.85,0.51,0.01,0.15,1.51,,7.8,"Genius Sonority Inc., Disney Interactive Studios"
The Simpsons Game,DS,2007.0,Action,Electronic Arts,0.56,0.77,0.0,0.17,1.51,69.0,7.3,Griptonite Games
Football Manager 2012,PC,2011.0,Sports,Sega,0.02,1.16,0.0,0.33,1.51,84.0,8,Sports Interactive
Ni no Kuni: Wrath of the White Witch,PS3,2011.0,Role-Playing,Namco Bandai Games,0.6,0.47,0.21,0.23,1.51,85.0,8.6,Level 5
Star Wars: The Force Unleashed II,PS3,2010.0,Action,LucasArts,0.8,0.49,0.0,0.21,1.5,63.0,6.8,LucasArts
Mafia II,PS3,2010.0,Action,Take-Two Interactive,0.5,0.69,0.04,0.26,1.49,75.0,7.7,2K Czech
Batman: Arkham Knight,XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.88,0.47,0.0,0.14,1.49,85.0,6.6,Rocksteady Studios
Bratz: Forever Diamondz,DS,2006.0,Adventure,THQ,0.43,0.88,0.0,0.18,1.48,,6.5,Barking Lizards
Drawn To Life: SpongeBob SquarePants Edition,DS,2008.0,Adventure,THQ,0.99,0.35,0.0,0.13,1.48,68.0,5.5,Altron
